,Method,Slice,Violation_gap
173,NVS,Business Slice,84.435948354424
174,Proposed_HSRS,Critical Slice,0.0
175,Proposed_HSRS,Performance Slice,0.0
176,Proposed_HSRS,Business Slice,88.66876080385599
177,ADSS,Critical Slice,0.0
178,ADSS,Performance Slice,71.233806148864
179,ADSS,Business Slice,82.71601558406401
180,Optimal ILP,Critical Slice,0.0
181,Optimal ILP,Performance Slice,0.0
182,Optimal ILP,Business Slice,47.9365037708
183,BestCQI,Critical Slice,100.0
184,BestCQI,Performance Slice,83.66134375
185,BestCQI,Business Slice,100.0
186,NVS,Critical Slice,0.0
187,NVS,Performance Slice,64.4043042175168
188,NVS,Business Slice,88.028900660248
189,Proposed_HSRS,Critical Slice,0.0
190,Proposed_HSRS,Performance Slice,0.0
191,Proposed_HSRS,Business Slice,98.18412331830399
192,ADSS,Critical Slice,0.0
193,ADSS,Performance Slice,50.628474696591994
194,ADSS,Business Slice,65.68247252079999
195,Optimal ILP,Critical Slice,0.0
196,Optimal ILP,Performance Slice,0.0
197,Optimal ILP,Business Slice,8.688808164295994
198,BestCQI,Critical Slice,100.0
199,BestCQI,Performance Slice,100.0
200,BestCQI,Business Slice,73.6369856146
201,NVS,Critical Slice,0.0
202,NVS,Performance Slice,69.43006365464319
203,NVS,Business Slice,84.45146866331199
204,Proposed_HSRS,Critical Slice,0.0
205,Proposed_HSRS,Performance Slice,0.0
206,Proposed_HSRS,Business Slice,89.975288979424
207,ADSS,Critical Slice,0.0
208,ADSS,Performance Slice,63.767830308015995
209,ADSS,Business Slice,77.44381237959999
210,Optimal ILP,Critical Slice,0.0
211,Optimal ILP,Performance Slice,0.0
212,Optimal ILP,Business Slice,10.532246752192
213,BestCQI,Critical Slice,100.0
214,BestCQI,Performance Slice,100.0
215,BestCQI,Business Slice,82.755521925568
216,NVS,Critical Slice,0.0
217,NVS,Performance Slice,71.999662929952
218,NVS,Business Slice,82.82783234512
219,Proposed_HSRS,Critical Slice,0.0
220,Proposed_HSRS,Performance Slice,0.0
221,Proposed_HSRS,Business Slice,90.859946723296
222,ADSS,Critical Slice,0.0
223,ADSS,Performance Slice,76.36044749190401
224,ADSS,Business Slice,69.960670263136
225,Optimal ILP,Critical Slice,0.0
226,Optimal ILP,Performance Slice,0.01601355887265425
227,Optimal ILP,Business Slice,10.849002219135997
228,BestCQI,Critical Slice,100.0
229,BestCQI,Performance Slice,100.0
230,BestCQI,Business Slice,100.0
231,NVS,Critical Slice,0.0
232,NVS,Performance Slice,61.6631349364288
233,NVS,Business Slice,72.70999954706801
234,Proposed_HSRS,Critical Slice,0.0
235,Proposed_HSRS,Performance Slice,0.0
236,Proposed_HSRS,Business Slice,89.364352958848
237,ADSS,Critical Slice,0.0
238,ADSS,Performance Slice,50.281384107712
239,ADSS,Business Slice,98.79999765083201
240,Optimal ILP,Critical Slice,0.0
241,Optimal ILP,Performance Slice,0.0
242,Optimal ILP,Business Slice,10.849002219135997
243,BestCQI,Critical Slice,100.0
244,BestCQI,Performance Slice,88.79634999999999
245,BestCQI,Business Slice,100.0
246,NVS,Critical Slice,0.0
247,NVS,Performance Slice,69.9707348324032
248,NVS,Business Slice,71.14068432443199
249,Proposed_HSRS,Critical Slice,0.0
250,Proposed_HSRS,Performance Slice,0.0
251,Proposed_HSRS,Business Slice,90.030315545536
252,ADSS,Critical Slice,0.0
253,ADSS,Performance Slice,69.789006004384
254,ADSS,Business Slice,91.73190621388
255,Optimal ILP,Critical Slice,0.0
256,Optimal ILP,Performance Slice,0.0
257,Optimal ILP,Business Slice,12.29098035136
258,BestCQI,Critical Slice,100.0
259,BestCQI,Performance Slice,94.77163
260,BestCQI,Business Slice,91.003862528896
261,NVS,Critical Slice,0.0
262,NVS,Performance Slice,59.69233744798721
263,NVS,Business Slice,71.65638197526401
264,Proposed_HSRS,Critical Slice,0.0
265,Proposed_HSRS,Performance Slice,0.0
266,Proposed_HSRS,Business Slice,82.741412413312
267,ADSS,Critical Slice,0.0
268,ADSS,Performance Slice,51.870099653248005
269,ADSS,Business Slice,63.961834309984
270,Optimal ILP,Critical Slice,0.0
271,Optimal ILP,Performance Slice,0.0
272,Optimal ILP,Business Slice,6.193565060095998
273,BestCQI,Critical Slice,100.0
274,BestCQI,Performance Slice,73.011587586688
275,BestCQI,Business Slice,100.0
276,NVS,Critical Slice,0.0
277,NVS,Performance Slice,59.99089180420481
278,NVS,Business Slice,70.126220301664
279,Proposed_HSRS,Critical Slice,0.0
280,Proposed_HSRS,Performance Slice,0.0
281,Proposed_HSRS,Business Slice,75.24086867775999
282,ADSS,Critical Slice,0.0
283,ADSS,Performance Slice,62.83308416550399
284,ADSS,Business Slice,100.0
285,Optimal ILP,Critical Slice,0.0
286,Optimal ILP,Performance Slice,0.0
287,Optimal ILP,Business Slice,7.154364549371994
288,BestCQI,Critical Slice,88.2690625344
289,BestCQI,Performance Slice,100.0
290,BestCQI,Business Slice,81.52377349167999
291,NVS,Critical Slice,0.0
292,NVS,Performance Slice,64.259824309984
293,NVS,Business Slice,73.23239915192799
294,Proposed_HSRS,Critical Slice,0.0
295,Proposed_HSRS,Performance Slice,0.0
296,Proposed_HSRS,Business Slice,82.947409021024
297,ADSS,Critical Slice,24.938124518399995
298,ADSS,Performance Slice,100.0
299,ADSS,Business Slice,70.37501554072
